,Accuracy,Precision,Recall,F1 Score
Logistic Regression,0.8727678571428571,0.6923076923076923,0.26865671641791045,0.3870967741935484
Decision Tree,0.8638392857142857,0.59375,0.2835820895522388,0.3838383838383838
Random Forest,0.8683035714285714,0.6538461538461539,0.2537313432835821,0.3655913978494624
